Caso	Desv	Tiempo
GKD-b_1_n25_m2	0.0000	0.0000
GKD-b_2_n25_m2	0.0000	0.0000
GKD-b_3_n25_m2	0.0000	0.0000
GKD-b_4_n25_m2	0.0000	0.0000
GKD-b_5_n25_m2	0.0000	0.0000
GKD-b_6_n25_m7	80.8782	0.0002
GKD-b_7_n25_m7	74.0463	0.0002
GKD-b_8_n25_m7	72.1048	0.0002
GKD-b_9_n25_m7	67.3559	0.0002
GKD-b_10_n25_m7	73.4843	0.0002
GKD-b_11_n50_m5	93.0705	0.0002
GKD-b_12_n50_m5	93.0290	0.0002
GKD-b_13_n50_m5	91.3234	0.0002
GKD-b_14_n50_m5	94.8553	0.0002
GKD-b_15_n50_m5	88.9826	0.0002
GKD-b_16_n50_m15	76.5702	0.0011
GKD-b_17_n50_m15	73.8239	0.0011
GKD-b_18_n50_m15	76.5320	0.0011
GKD-b_19_n50_m15	69.9093	0.0011
GKD-b_20_n50_m15	71.3895	0.0011
GKD-b_21_n100_m10	85.3489	0.0010
GKD-b_22_n100_m10	79.6327	0.0011
GKD-b_23_n100_m10	79.7453	0.0010
GKD-b_24_n100_m10	85.8070	0.0010
GKD-b_25_n100_m10	78.0710	0.0010
GKD-b_26_n100_m30	56.1525	0.0131
GKD-b_27_n100_m30	64.3647	0.0170
GKD-b_28_n100_m30	70.0902	0.0135
GKD-b_29_n100_m30	61.6922	0.0134
GKD-b_30_n100_m30	62.2925	0.0159
GKD-b_31_n125_m12	79.9631	0.0018
GKD-b_32_n125_m12	76.6009	0.0018
GKD-b_33_n125_m12	76.8040	0.0018
GKD-b_34_n125_m12	76.5853	0.0018
GKD-b_35_n125_m12	79.6993	0.0018
GKD-b_36_n125_m37	73.6180	0.0357
GKD-b_37_n125_m37	60.8439	0.0362
GKD-b_38_n125_m37	64.7826	0.0359
GKD-b_39_n125_m37	63.4381	0.0350
GKD-b_40_n125_m37	55.2576	0.0362
GKD-b_41_n150_m15	78.1423	0.0038
GKD-b_42_n150_m15	76.2273	0.0036
GKD-b_43_n150_m15	79.1024	0.0036
GKD-b_44_n150_m15	76.6874	0.0056
GKD-b_45_n150_m15	79.1548	0.0039
GKD-b_46_n150_m45	63.7897	0.0725
GKD-b_47_n150_m45	64.2081	0.0808
GKD-b_48_n150_m45	67.0056	0.0731
GKD-b_49_n150_m45	64.3517	0.0818
GKD-b_50_n150_m45	56.5975	0.0748
MEDIA TOTAL:	66.6682	0.0135
