Caso	Desv	Tiempo
GKD-b_1_n25_m2	0.0000	0.1028
GKD-b_2_n25_m2	0.0000	0.1437
GKD-b_3_n25_m2	0.0000	0.1012
GKD-b_4_n25_m2	0.0000	0.1026
GKD-b_5_n25_m2	0.0000	0.1071
GKD-b_6_n25_m7	41.7121	0.3219
GKD-b_7_n25_m7	15.1158	0.3198
GKD-b_8_n25_m7	28.3771	0.3211
GKD-b_9_n25_m7	25.1508	0.3204
GKD-b_10_n25_m7	18.7136	0.3208
GKD-b_11_n50_m5	54.7906	0.2142
GKD-b_12_n50_m5	56.0861	0.2163
GKD-b_13_n50_m5	60.4872	0.2139
GKD-b_14_n50_m5	65.9285	0.2124
GKD-b_15_n50_m5	36.3567	0.2112
GKD-b_16_n50_m15	73.6875	0.8041
GKD-b_17_n50_m15	61.6729	0.7996
GKD-b_18_n50_m15	70.6182	0.8029
GKD-b_19_n50_m15	67.7749	0.8145
GKD-b_20_n50_m15	66.1246	0.8055
GKD-b_21_n100_m10	79.5341	0.4645
GKD-b_22_n100_m10	75.1451	0.4677
GKD-b_23_n100_m10	71.3834	0.4673
GKD-b_24_n100_m10	84.9181	0.4707
GKD-b_25_n100_m10	72.1983	0.4694
GKD-b_26_n100_m30	70.5423	2.1795
GKD-b_27_n100_m30	76.8285	2.1790
GKD-b_28_n100_m30	79.7796	2.1872
GKD-b_29_n100_m30	74.0810	2.1771
GKD-b_30_n100_m30	76.0914	2.1960
GKD-b_31_n125_m12	88.3524	0.5843
GKD-b_32_n125_m12	76.8802	0.5768
GKD-b_33_n125_m12	80.9044	0.5915
GKD-b_34_n125_m12	80.8339	0.5840
GKD-b_35_n125_m12	79.0776	0.5850
GKD-b_36_n125_m37	76.9334	3.0638
GKD-b_37_n125_m37	76.3384	3.0553
GKD-b_38_n125_m37	74.4735	3.0495
GKD-b_39_n125_m37	75.8389	3.0314
GKD-b_40_n125_m37	74.8444	3.0620
GKD-b_41_n150_m15	83.0119	0.7803
GKD-b_42_n150_m15	83.2556	0.7745
GKD-b_43_n150_m15	82.5611	0.7874
GKD-b_44_n150_m15	81.0664	1.2751
GKD-b_45_n150_m15	79.3497	0.7866
GKD-b_46_n150_m45	76.9969	4.1707
GKD-b_47_n150_m45	76.3586	4.1321
GKD-b_48_n150_m45	73.9018	4.1192
GKD-b_49_n150_m45	76.6227	4.1485
GKD-b_50_n150_m45	74.1308	4.1353
MEDIA TOTAL:	61.4966	1.2762
