Caso	Desv	Tiempo
GKD-b_1_n25_m2	0.0000	0.0000
GKD-b_2_n25_m2	0.0000	0.0000
GKD-b_3_n25_m2	0.0000	0.0000
GKD-b_4_n25_m2	0.0000	0.0000
GKD-b_5_n25_m2	0.0000	0.0000
GKD-b_6_n25_m7	70.5264	0.0005
GKD-b_7_n25_m7	49.9972	0.0007
GKD-b_8_n25_m7	45.1754	0.0006
GKD-b_9_n25_m7	57.1641	0.0006
GKD-b_10_n25_m7	44.1411	0.0006
GKD-b_11_n50_m5	88.2458	0.0006
GKD-b_12_n50_m5	87.6286	0.0006
GKD-b_13_n50_m5	86.2440	0.0006
GKD-b_14_n50_m5	87.5089	0.0006
GKD-b_15_n50_m5	82.0086	0.0005
GKD-b_16_n50_m15	63.8532	0.0192
GKD-b_17_n50_m15	45.2266	0.0244
GKD-b_18_n50_m15	61.7006	0.0157
GKD-b_19_n50_m15	64.0745	0.0186
GKD-b_20_n50_m15	44.8938	0.0208
GKD-b_21_n100_m10	67.6725	0.0132
GKD-b_22_n100_m10	74.6297	0.0124
GKD-b_23_n100_m10	60.8859	0.0169
GKD-b_24_n100_m10	79.8068	0.0172
GKD-b_25_n100_m10	66.4206	0.0104
GKD-b_26_n100_m30	54.2501	0.5199
GKD-b_27_n100_m30	62.9910	0.4610
GKD-b_28_n100_m30	65.4184	0.4696
GKD-b_29_n100_m30	62.7083	0.4309
GKD-b_30_n100_m30	64.4791	0.4143
GKD-b_31_n125_m12	79.2397	0.0463
GKD-b_32_n125_m12	59.7963	0.0285
GKD-b_33_n125_m12	60.4817	0.0425
GKD-b_34_n125_m12	62.1471	0.0307
GKD-b_35_n125_m12	72.2680	0.0332
GKD-b_36_n125_m37	63.1842	1.1163
GKD-b_37_n125_m37	61.9345	1.5078
GKD-b_38_n125_m37	61.0443	1.4038
GKD-b_39_n125_m37	61.1219	1.2446
GKD-b_40_n125_m37	59.9148	1.0751
GKD-b_41_n150_m15	54.1575	0.0899
GKD-b_42_n150_m15	67.6331	0.0843
GKD-b_43_n150_m15	58.8158	0.0828
GKD-b_44_n150_m15	59.1920	0.1177
GKD-b_45_n150_m15	53.4922	0.0776
GKD-b_46_n150_m45	64.4615	2.3060
GKD-b_47_n150_m45	68.3148	2.5749
GKD-b_48_n150_m45	64.1510	2.4389
GKD-b_49_n150_m45	71.7634	2.3963
GKD-b_50_n150_m45	64.1840	2.4710
MEDIA TOTAL:	58.0990	0.4328
