Caso	Desv	Tiempo
GKD-b_1_n25_m2	0.0000	0.0000
GKD-b_2_n25_m2	0.0000	0.0000
GKD-b_3_n25_m2	0.0000	0.0000
GKD-b_4_n25_m2	0.0000	0.0000
GKD-b_5_n25_m2	0.0000	0.0000
GKD-b_6_n25_m7	65.9797	0.0005
GKD-b_7_n25_m7	51.5923	0.0004
GKD-b_8_n25_m7	61.3686	0.0003
GKD-b_9_n25_m7	59.9840	0.0005
GKD-b_10_n25_m7	44.4327	0.0005
GKD-b_11_n50_m5	88.6084	0.0005
GKD-b_12_n50_m5	82.1538	0.0007
GKD-b_13_n50_m5	83.7711	0.0006
GKD-b_14_n50_m5	90.6264	0.0006
GKD-b_15_n50_m5	80.0053	0.0005
GKD-b_16_n50_m15	72.9902	0.0075
GKD-b_17_n50_m15	57.6500	0.0078
GKD-b_18_n50_m15	48.1904	0.0089
GKD-b_19_n50_m15	54.7650	0.0068
GKD-b_20_n50_m15	60.0076	0.0065
GKD-b_21_n100_m10	62.3671	0.0071
GKD-b_22_n100_m10	65.2896	0.0059
GKD-b_23_n100_m10	52.7186	0.0081
GKD-b_24_n100_m10	79.7139	0.0051
GKD-b_25_n100_m10	54.7710	0.0068
GKD-b_26_n100_m30	50.8088	0.1121
GKD-b_27_n100_m30	58.5366	0.1029
GKD-b_28_n100_m30	67.0586	0.1035
GKD-b_29_n100_m30	44.8899	0.1059
GKD-b_30_n100_m30	60.5169	0.0996
GKD-b_31_n125_m12	69.3387	0.0197
GKD-b_32_n125_m12	56.9626	0.0099
GKD-b_33_n125_m12	59.0168	0.0123
GKD-b_34_n125_m12	61.4251	0.0136
GKD-b_35_n125_m12	67.2194	0.0116
GKD-b_36_n125_m37	60.0852	0.2572
GKD-b_37_n125_m37	59.7372	0.2615
GKD-b_38_n125_m37	55.5796	0.2824
GKD-b_39_n125_m37	48.0677	0.2390
GKD-b_40_n125_m37	58.4114	0.2076
GKD-b_41_n150_m15	58.4881	0.0420
GKD-b_42_n150_m15	63.2701	0.0359
GKD-b_43_n150_m15	63.2884	0.0237
GKD-b_44_n150_m15	50.2293	0.0506
GKD-b_45_n150_m15	53.7641	0.0390
GKD-b_46_n150_m45	56.2253	0.6313
GKD-b_47_n150_m45	52.5152	0.5229
GKD-b_48_n150_m45	51.5643	0.5503
GKD-b_49_n150_m45	65.2461	0.3958
GKD-b_50_n150_m45	54.3044	0.6755
MEDIA TOTAL:	55.2707	0.0976
